STATE/UT,YEAR,Crime Head,Number Of Cases In Which Property - Stolen,Number Of Cases In Which Property - Recovered,Value Of Property (in rupees) - Stolen,Value Of Property (in rupees) - Recovered
Chhattisgarh,2002,ROBBERY,326,182,8264774,2813675
Chhattisgarh,2002,BURGLARY,3731,902,30830441,6998830
Chhattisgarh,2002,THEFTS,4302,1842,53376276,24882435
Chhattisgarh,2002,C.B. OF TRUST,92,58,59050808,1177815
Chhattisgarh,2002,OTHER KINDS OF PROP. OFF.,92,41,6036538,1730949
Chhattisgarh,2003,OTHER KINDS OF PROP. OFF.,260,123,11739034,871302
Chhattisgarh,2003,C.B. OF TRUST,70,37,19082771,750259
Chhattisgarh,2003,BURGLARY,3621,968,38433339,8190813
Chhattisgarh,2003,ROBBERY,331,174,8703914,3282493
Chhattisgarh,2003,DACOITY,140,41,10207530,1469483
Chhattisgarh,2003,TOTAL (MANUAL),8592,2757,146930510,42417804
Chhattisgarh,2003,THEFTS,4170,1414,58763922,27853454
Chhattisgarh,2004,DACOITY,106,30,36973703,4560404
Chhattisgarh,2004,ROBBERY,363,211,7373791,2743037
Chhattisgarh,2004,THEFTS,5014,1813,101825009,51493528
Chhattisgarh,2004,C.B. OF TRUST,84,41,5746737,535370
Chhattisgarh,2004,OTHER KINDS OF PROP. OFF.,1261,137,10298816,2007990
Chhattisgarh,2004,TOTAL (MANUAL),10548,3383,202799512,67401154
Chhattisgarh,2004,BURGLARY,3720,1151,40581456,6060825
Chhattisgarh,2005,OTHER KINDS OF PROP. OFF.,223,118,7118132,2473884
Chhattisgarh,2005,DACOITY,204,47,8653691,1048911
Chhattisgarh,2005,ROBBERY,401,217,10051593,3840349
Chhattisgarh,2005,BURGLARY,3621,1186,51741764,11063089
Chhattisgarh,2005,C.B. OF TRUST,105,59,8747070,1478929
Chhattisgarh,2005,TOTAL (MANUAL),10154,3744,284057082,144020041
Chhattisgarh,2005,THEFTS,5600,2117,197744832,124114879
Chhattisgarh,2006,THEFTS,5262,1943,189217539,45965099
Chhattisgarh,2006,DACOITY,160,68,16274786,2548974
Chhattisgarh,2006,TOTAL (MANUAL),9688,3515,349906478,79645052
Chhattisgarh,2006,OTHER KINDS OF PROP. OFF.,190,119,29934621,8166953
Chhattisgarh,2006,C.B. OF TRUST,130,47,16808504,4973985
Chhattisgarh,2006,ROBBERY,439,268,23284457,9272542
Chhattisgarh,2006,BURGLARY,3507,1070,74386571,8717499
Chhattisgarh,2007,DACOITY,115,33,7981751,4217777
Chhattisgarh,2007,ROBBERY,427,263,18400122,8314313
Chhattisgarh,2007,BURGLARY,3632,1164,52170119,11248886
Chhattisgarh,2007,OTHER KINDS OF PROP. OFF.,142,96,33859629,10164727
Chhattisgarh,2007,THEFTS,5381,1995,201276448,97424680
Chhattisgarh,2007,TOTAL (MANUAL),9837,3605,344666888,142302236
Chhattisgarh,2007,C.B. OF TRUST,140,54,30978819,10931853
Chhattisgarh,2008,ROBBERY,500,291,30199112,18507666
Chhattisgarh,2008,TOTAL (MANUAL),11111,3671,383749576,131722842
Chhattisgarh,2008,BURGLARY,4112,1227,80298616,17704020
Chhattisgarh,2008,THEFTS,6079,1979,167950857,66780834
Chhattisgarh,2008,C.B. OF TRUST,146,50,49003223,17199111
